company,week_start,orders,canceled,total_qty,gmv_idr,cod_orders,jubelio_shipment_orders,orders_shopee,orders_tokopedia,orders_lazada,orders_other
Company_B,2025-03-31,40962,4000,49534,7512496783,23354,151,22017,17443,1289,213
Company_B,2025-04-07,23799,1402,26343,4301346703,11742,276,13814,9026,642,317
Company_B,2025-04-14,24344,1644,27049,4436427379,11507,248,13934,9430,565,415
Company_B,2025-04-21,39629,2504,45721,6467068430,17160,304,24292,14020,815,502
Company_B,2025-04-28,38823,3318,43937,7088342610,16730,280,19755,16870,1773,425
Company_B,2025-05-05,43085,3820,51223,7562745702,20418,332,21391,18972,2239,483
Company_B,2025-05-12,32073,2514,35104,5970256495,15993,310,16705,13737,1187,444
Company_B,2025-05-19,37597,2834,43592,6770798672,18081,335,20497,14770,1771,559
Company_B,2025-05-26,34823,2467,37930,6334399309,16221,282,19631,13205,1566,421
Company_B,2025-06-02,56225,4812,69844,9370811285,24963,252,29901,19620,6354,350
Company_B,2025-06-09,32306,2170,34893,5899893213,15764,364,19259,11806,682,559
Company_B,2025-06-16,31005,1892,33338,5557790737,15372,412,20187,9536,669,613
Company_B,2025-06-23,41036,2709,48686,7306626919,19037,245,27828,11930,881,397
Company_B,2025-06-30,50624,3012,57570,8856867155,22102,386,33122,16052,895,555
Company_B,2025-07-07,48822,2551,61440,8191683299,22154,306,33214,13616,1483,509
Company_B,2025-07-14,24116,2146,26994,4492549792,11564,341,12194,10818,556,548
Company_B,2025-07-21,32530,3290,42696,6003574867,15300,291,16160,15119,707,544
Company_B,2025-07-28,35048,3421,40169,6510529628,15921,324,13976,18987,565,1520
Company_B,2025-08-04,52308,4130,72872,9311088397,24039,240,27022,23530,1278,478
Company_B,2025-08-11,41381,3204,50571,7683036619,21541,301,13871,26251,709,550
Company_B,2025-08-18,50501,3257,56601,9959906414,28257,303,13646,35548,701,606
Company_B,2025-08-25,74693,4137,88511,14199696144,39119,253,18271,54942,998,482
Company_B,2025-09-01,62547,5489,67380,11902279710,32836,214,15374,45978,784,411
Company_B,2025-09-08,80605,4776,106808,15105559741,41384,324,28423,48259,3347,576
Company_B,2025-09-15,57221,3056,61892,10985422624,31202,349,15160,40869,560,632
Company_B,2025-09-22,87439,3158,108885,16599017183,45517,361,32499,53009,1270,661
Company_B,2025-09-29,55844,4426,60286,10716430223,27086,338,21016,33516,713,599
Company_B,2025-10-06,57192,5946,80720,10848956157,27863,273,23202,32145,1325,520
Company_B,2025-10-13,29000,2602,31548,5552721168,14572,330,12642,15226,574,558
